CODEPAGE 932            ; Japanese - ANSI, OEM
0x45	0x52c7	;—E
0x46	0x53cb	;—F
0x47	0x5ba5	;—G
0x48	0x5e7d	;—H
0x49	0x60a0	;—I
0x4a	0x6182	;—J
0x4b	0x63d6	;—K
0x4c	0x6709	;—L
0x4d	0x67da	;—M
0x4e	0x6e67	;—N
0x4f	0x6d8c	;—O
0x50	0x7336	;—P
0x51	0x7337	;—Q
0x52	0x7531	;—R
0x53	0x7950	;—S
0x54	0x88d5	;—T
0x55	0x8a98	;—U
0x56	0x904a	;—V
0x57	0x9091	;—W
0x58	0x90f5	;—X
0x59	0x96c4	;—Y
0x5a	0x878d	;—Z
0x5b	0x5915	;—[
0x5c	0x4e88	;—\
0x5d	0x4f59	;—]
0x5e	0x4e0e	;—^
0x5f	0x8a89	;—_
0x60	0x8f3f	;—`
0x61	0x9810	;—a
0x62	0x50ad	;—b
0x63	0x5e7c	;—c
0x64	0x5996	;—d
0x65	0x5bb9	;—e
0x66	0x5eb8	;—f
0x67	0x63da	;—g
0x68	0x63fa	;—h
0x69	0x64c1	;—i
0x6a	0x66dc	;—j
0x6b	0x694a	;—k
0x6c	0x69d8	;—l
0x6d	0x6d0b	;—m
0x6e	0x6eb6	;—n
0x6f	0x7194	;—o
0x70	0x7528	;—p
0x71	0x7aaf	;—q
0x72	0x7f8a	;—r
0x73	0x8000	;—s
0x74	0x8449	;—t
0x75	0x84c9	;—u
0x76	0x8981	;—v
0x77	0x8b21	;—w
0x78	0x8e0a	;—x
0x79	0x9065	;—y
0x7a	0x967d	;—z
0x7b	0x990a	;—{
0x7c	0x617e	;—|
0x7d	0x6291	;—}
0x7e	0x6b32	;—~
0x80	0x6c83	;—€
0x81	0x6d74	;—
0x82	0x7fcc	;—‚
0x83	0x7ffc	;—ƒ
0x84	0x6dc0	;—„
0x85	0x7f85	;—…
0x86	0x87ba	;—†
0x87	0x88f8	;—‡
0x88	0x6765	;—ˆ
0x89	0x83b1	;—‰
0x8a	0x983c	;—Š
0x8b	0x96f7	;—‹
0x8c	0x6d1b	;—Œ
0x8d	0x7d61	;—
0x8e	0x843d	;—
0x8f	0x916a	;—
0x90	0x4e71	;—
0x91	0x5375	;—‘
0x92	0x5d50	;—’
0x93	0x6b04	;—“
0x94	0x6feb	;—”
0x95	0x85cd	;—•
0x96	0x862d	;—–
0x97	0x89a7	;——
0x98	0x5229	;—˜
0x99	0x540f	;—™
0x9a	0x5c65	;—š
0x9b	0x674e	;—›
0x9c	0x68a8	;—œ
0x9d	0x7406	;—
0x9e	0x7483	;—
0x9f	0x75e2	;—Ÿ
0xa0	0x88cf	;— 
0xa1	0x88e1	;—¡
0xa2	0x91cc	;—¢
0xa3	0x96e2	;—£
0xa4	0x9678	;—¤
0xa5	0x5f8b	;—¥
0xa6	0x7387	;—¦
0xa7	0x7acb	;—§
0xa8	0x844e	;—¨
0xa9	0x63a0	;—©
0xaa	0x7565	;—ª
0xab	0x5289	;—«
0xac	0x6d41	;—¬
0xad	0x6e9c	;—­
0xae	0x7409	;—®
0xaf	0x7559	;—¯
0xb0	0x786b	;—°
0xb1	0x7c92	;—±
0xb2	0x9686	;—²
0xb3	0x7adc	;—³
0xb4	0x9f8d	;—´
0xb5	0x4fb6	;—µ
0xb6	0x616e	;—¶
0xb7	0x65c5	;—·
0xb8	0x865c	;—¸
0xb9	0x4e86	;—¹
0xba	0x4eae	;—º
0xbb	0x50da	;—»
0xbc	0x4e21	;—¼
0xbd	0x51cc	;—½
0xbe	0x5bee	;—¾
0xbf	0x6599	;—¿
0xc0	0x6881	;—À
0xc1	0x6dbc	;—Á
0xc2	0x731f	;—Â
0xc3	0x7642	;—Ã
0xc4	0x77ad	;—Ä
0xc5	0x7a1c	;—Å
0xc6	0x7ce7	;—Æ
0xc7	0x826f	;—Ç
0xc8	0x8ad2	;—È
0xc9	0x907c	;—É
0xca	0x91cf	;—Ê
0xcb	0x9675	;—Ë
0xcc	0x9818	;—Ì
0xcd	0x529b	;—Í
0xce	0x7dd1	;—Î
0xcf	0x502b	;—Ï
0xd0	0x5398	;—Ğ
0xd1	0x6797	;—Ñ
0xd2	0x6dcb	;—Ò
0xd3	0x71d0	;—Ó
0xd4	0x7433	;—Ô
0xd5	0x81e8	;—Õ
0xd6	0x8f2a	;—Ö
0xd7	0x96a3	;—×
0xd8	0x9c57	;—Ø
0xd9	0x9e9f	;—Ù
0xda	0x7460	;—Ú
0xdb	0x5841	;—Û
0xdc	0x6d99	;—Ü
0xdd	0x7d2f	;—İ
0xde	0x985e	;—Ş
0xdf	0x4ee4	;—ß
0xe0	0x4f36	;—à
0xe1	0x4f8b	;—á
0xe2	0x51b7	;—â
0xe3	0x52b1	;—ã
0xe4	0x5dba	;—ä
0xe5	0x601c	;—å
0xe6	0x73b2	;—æ
0xe7	0x793c	;—ç
0xe8	0x82d3	;—è
0xe9	0x9234	;—é
0xea	0x96b7	;—ê
0xeb	0x96f6	;—ë
0xec	0x970a	;—ì
0xed	0x9e97	;—í
0xee	0x9f62	;—î
0xef	0x66a6	;—ï
0xf0	0x6b74	;—ğ
0xf1	0x5217	;—ñ
0xf2	0x52a3	;—ò
0xf3	0x70c8	;—ó
0xf4	0x88c2	;—ô
0xf5	0x5ec9	;—õ
0xf6	0x604b	;—ö
0xf7	0x6190	;—÷
0xf8	0x6f23	;—ø
0xf9	0x7149	;—ù
0xfa	0x7c3e	;—ú
0xfb	0x7df4	;—û
0xfc	0x806f	;—ü

DBCSTABLE 145           ;LeadByte = 0x98

0x40	0x84ee	;˜@
0x41	0x9023	;˜A
0x42	0x932c	;˜B
0x43	0x5442	;˜C
0x44	0x9b6f	;˜D
0x45	0x6ad3	;˜E
0x46	0x7089	;˜F
0x47	0x8cc2	;˜G
0x48	0x8def	;˜H
0x49	0x9732	;˜I
0x4a	0x52b4	;˜J
0x4b	0x5a41	;˜K
0x4c	0x5eca	;˜L
0x4d	0x5f04	;˜M
0x4e	0x6717	;˜N
0x4f	0x697c	;˜O
0x50	0x6994	;˜P
0x51	0x6d6a	;˜Q
0x52	0x6f0f	;˜R
0x53	0x7262	;˜S
0x54	0x72fc	;˜T
0x55	0x7bed	;˜U
0x56	0x8001	;˜V
0x57	0x807e	;˜W
0x58	0x874b	;˜X
0x59	0x90ce	;˜Y
0x5a	0x516d	;˜Z
0x5b	0x9e93	;˜[
0x5c	0x7984	;˜\
0x5d	0x808b	;˜]
0x5e	0x9332	;˜^
0x5f	0x8ad6	;˜_
0x60	0x502d	;˜`
0x61	0x548c	;˜a
0x62	0x8a71	;˜b
0x63	0x6b6a	;˜c
0x64	0x8cc4	;˜d
0x65	0x8107	;˜e
0x66	0x60d1	;˜f
0x67	0x67a0	;˜g
0x68	0x9df2	;˜h
0x69	0x4e99	;˜i
0x6a	0x4e98	;˜j
0x6b	0x9c10	;˜k
0x6c	0x8a6b	;˜l
0x6d	0x85c1	;˜m
0x6e	0x8568	;˜n
0x6f	0x6900	;˜o
0x70	0x6e7e	;˜p
0x71	0x7897	;˜q
0x72	0x8155	;˜r
0x9f	0x5f0c	;˜Ÿ
0xa0	0x4e10	;˜ 
0xa1	0x4e15	;˜¡
0xa2	0x4e2a	;˜¢
0xa3	0x4e31	;˜£
0xa4	0x4e36	;˜¤
0xa5	0x4e3c	;˜¥
0xa6	0x4e3f	;˜¦
0xa7	0x4e42	;˜§
0xa8	0x4e56	;˜¨
0xa9	0x4e58	;˜©
0xaa	0x4e82	;˜ª
0xab	0x4e85	;˜«
0xac	0x8c6b	;˜¬
0xad	0x4e8a	;˜­
0xae	0x8212	;˜®
0xaf	0x5f0d	;˜¯
0xb0	0x4e8e	;˜°
0xb1	0x4e9e	;˜±
0xb2	0x4e9f	;˜²
0xb3	0x4ea0	;˜³
0xb4	0x4ea2	;˜´
0xb5	0x4eb0	;˜µ
0xb6	0x4eb3	;˜¶
0xb7	0x4eb6	;˜·
0xb8	0x4ece	;˜¸
0xb9	0x4ecd	;˜¹
0xba	0x4ec4	;˜º
0xbb	0x4ec6	;˜»
0xbc	0x4ec2	;˜¼
0xbd	0x4ed7	;˜½
0xbe	0x4ede	;˜¾
0xbf	0x4eed	;˜¿
0xc0	0x4edf	;˜À
0xc1	0x4ef7	;˜Á
0xc2	0x4f09	;˜Â
0xc3	0x4f5a	;˜Ã
0xc4	0x4f30	;˜Ä
0xc5	0x4f5b	;˜Å
0xc6	0x4f5d	;˜Æ
0xc7	0x4f57	;˜Ç
0xc8	0x4f47	;˜È
0xc9	0x4f76	;˜É
0xca	0x4f88	;˜Ê
0xcb	0x4f8f	;˜Ë
0xcc	0x4f98	;˜Ì
0xcd	0x4f7b	;˜Í
0xce	0x4f69	;˜Î
0xcf	0x4f70	;˜Ï
0xd0	0x4f91	;˜Ğ
0xd1	0x4f6f	;˜Ñ
0xd2	0x4f86	;˜Ò
0xd3	0x4f96	;˜Ó
0xd4	0x5118	;˜Ô
0xd5	0x4fd4	;˜Õ
0xd6	0x4fdf	;˜Ö
0xd7	0x4fce	;˜×
0xd8	0x4fd8	;˜Ø
0xd9	0x4fdb	;˜Ù
0xda	0x4fd1	;˜Ú
0xdb	0x4fda	;˜Û
0xdc	0x4fd0	;˜Ü
0xdd	0x4fe4	;˜İ
0xde	0x4fe5	;˜Ş
0xdf	0x501a	;˜ß
0xe0	0x5028	;˜à
0xe1	0x5014	;˜á
0xe2	0x502a	;˜â
0xe3	0x5025	;˜ã
0xe4	0x5005	;˜ä
0xe5	0x4f1c	;˜å
0xe6	0x4ff6	;˜æ
0xe7	0x5021	;˜ç
0xe8	0x5029	;˜è
0xe9	0x502c	;˜é
0xea	0x4ffe	;˜ê
0xeb	0x4fef	;˜ë
0xec	0x5011	;˜ì
0xed	0x5006	;˜í
0xee	0x5043	;˜î
0xef	0x5047	;˜ï
0xf0	0x6703	;˜ğ
0xf1	0x5055	;˜ñ
0xf2	0x5050	;˜ò
0xf3	0x5048	;˜ó
0xf4	0x505a	;˜ô
0xf5	0x5056	;˜õ
0xf6	0x506c	;˜ö
0xf7	0x5078	;˜÷
0xf8	0x5080	;˜ø
0xf9	0x509a	;˜ù
0xfa	0x5085	;˜ú
0xfb	0x50b4	;˜û
0xfc	0x50b2	;˜ü

DBCSTABLE 188           ;LeadByte = 0x99

0x40	0x50c9	;™@
0x41	0x50ca	;™A
0x42	0x50b3	;™B
0x43	0x50c2	;™C
0x44	0x50d6	;™D
0x45	0x50de	;™E
0x46	0x50e5	;™F
0x47	0x50ed	;™G
0x48	0x50e3	;™H
0x49	0x50ee	;™I
0x4a	0x50f9	;™J
0x4b	0x50f5	;™K
0x4c	0x5109	;™L
0x4d	0x5101	;™M
0x4e	0x5102	;™N
0x4f	0x5116	;™O
0x50	0x5115	;™P
0x51	0x5114	;™Q
0x52	0x511a	;™R
0x53	0x5121	;™S
0x54	0x513a	;™T
0x55	0x5137	;™U
0x56	0x513c	;™V
0x57	0x513b	;™W
0x58	0x513f	;™X
0x59	0x5140	;™Y
0x5a	0x5152	;™Z
0x5b	0x514c	;™[
0x5c	0x5154	;™\
0x5d	0x5162	;™]
0x5e	0x7af8	;™^
0x5f	0x5169	;™_
0x60	0x516a	;™`
0x61	0x516e	;™a
0x62	0x5180	;™b
0x63	0x5182	;™c
0x64	0x56d8	;™d
0x65	0x518c	;™e
0x66	0x5189	;™f
0x67	0x518f	;™g
0x68	0x5191	;™h
0x69	0x5193	;™i
0x6a	0x5195	;™j
0x6b	0x5196	;™k
0x6c	0x51a4	;™l
0x6d	0x51a6	;™m
0x6e	0x51a2	;™n
0x6f	0x51a9	;™o
0x70	0x51aa	;™p
0x71	0x51ab	;™q
0x72	0x51b3	;™r
0x73	0x51b1	;™s
0x74	0x51b2	;™t
0x75	0x51b0	;™u
0x76	0x51b5	;™v
0x77	0x51bd	;™w
0x78	0x51c5	;™x
0x79	0x51c9	;™y
0x7a	0x51db	;™z
0x7b	0x51e0	;™{
0x7c	0x8655	;™|
0x7d	0x51e9	;™}
0x7e	0x51ed	;™~
0x80	0x51f0	;™€
0x81	0x51f5	;™
0x82	0x51fe	;™‚
0x83	0x5204	;™ƒ
0x84	0x520b	;™„
0x85	0x5214	;™…
0x86	0x520e	;™†
0x87	0x5227	;™‡
0x88	0x522a	;™ˆ
0x89	0x522e	;™‰
0x8a	0x5233	;™Š
0x8b	0x5239	;™‹
0x8c	0x524f	;™Œ
0x8d	0x5244	;™
0x8e	0x524b	;™
0x8f	0x524c	;™
0x90	0x525e	;™
0x91	0x5254	;™‘
0x92	0x526a	;™’
0x93	0x5274	;™“
0x94	0x5269	;™”
0x95	0x5273	;™•
0x96	0x527f	;™–
0x97	0x527d	;™—
0x98	0x528d	;™˜
0x99	0x5294	;™™
0x9a	0x5292	;™š
0x9b	0x5271	;™›
0x9c	0x5288	;™œ
0x9d	0x5291	;™
0x9e	0x8fa8	;™
0x9f	0x8fa7	;™Ÿ
0xa0	0x52ac	;™ 
0xa1	0x52ad	;™¡
0xa2	0x52bc	;™¢
0xa3	0x52b5	;™£
0xa4	0x52c1	;™¤
0xa5	0x52cd	;™¥
0xa6	0x52d7	;™¦
0xa7	0x52de	;™§
0xa8	0x52e3	;™¨
0xa9	0x52e6	;™©
0xaa	0x98ed	;™ª
0xab	0x52e0	;™«
0xac	0x52f3	;™¬
0xad	0x52f5	;™­
0xae	0x52f8	;™®
0xaf	0x52f9	;™¯
0xb0	0x5306	;™°
0xb1	0x5308	;™±
0xb2	0x7538	;™²
0xb3	0x530d	;™³
0xb4	0x5310	;™´
0xb5	0x530f	;™µ
0xb6	0x5315	;™¶
0xb7	0x531a	;™·
0xb8	0x5323	;™¸
0xb9	0x532f	;™¹
0xba	0x5331	;™º
0xbb	0x5333	;™»
0xbc	0x5338	;™¼
0xbd	0x5340	;™½
0xbe	0x5346	;™¾
0xbf	0x5345	;™¿
0xc0	0x4e17	;™À
0xc1	0x5349	;™Á
0xc2	0x534d	;™Â
0xc3	0x51d6	;™Ã
0xc4	0x535e	;™Ä
0xc5	0x5369	;™Å
0xc6	0x536e	;™Æ
0xc7	0x5918	;™Ç
0xc8	0x537b	;™È
0xc9	0x5377	;™É
0xca	0x5382	;™Ê
0xcb	0x5396	;™Ë
0xcc	0x53a0	;™Ì
0xcd	0x53a6	;™Í
0xce	0x53a5	;™Î
0xcf	0x53ae	;™Ï
0xd0	0x53b0	;™Ğ
0xd1	0x53b6	;™Ñ
0xd2	0x53c3	;™Ò
0xd3	0x7c12	;™Ó
0xd4	0x96d9	;™Ô
0xd5	0x53df	;™Õ
0xd6	0x66fc	;™Ö
0xd7	0x71ee	;™×
0xd8	0x53ee	;™Ø
0xd9	0x53e8	;™Ù
0xda	0x53ed	;™Ú
0xdb	0x53fa	;™Û
0xdc	0x5401	;™Ü
0xdd	0x543d	;™İ
0xde	0x5440	;™Ş
0xdf	0x542c	;™ß
0xe0	0x542d	;™à
0xe1	0x543c	;™á
0xe2	0x542e	;™â
0xe3	0x5436	;™ã
0xe4	0x5429	;™ä
0xe5	0x541d	;™å
0xe6	0x544e	;™æ
0xe7	0x548f	;™ç
0xe8	0x5475	;™è
0xe9	0x548e	;™é
0xea	0x545f	;™ê
0xeb	0x5471	;™ë
0xec	0x5477	;™ì
0xed	0x5470	;™í
0xee	0x5492	;™î
0xef	0x547b	;™ï
0xf0	0x5480	;™ğ
0xf1	0x5476	;™ñ
0xf2	0x5484	;™ò
0xf3	0x5490	;™ó
0xf4	0x5486	;™ô
0xf5	0x54c7	;™õ
0xf6	0x54a2	;™ö
0xf7	0x54b8	;™÷
0xf8	0x54a5	;™ø
0xf9	0x54ac	;™ù
0xfa	0x54c4	;™ú
0xfb	0x54c8	;™û
0xfc	0x54a8	;™ü

DBCSTABLE 188           ;LeadByte = 0x9a

0x40	0x54ab	;š@
0x41	0x54c2	;šA
0x42	0x54a4	;šB
0x43	0x54be	;šC
0x44	0x54bc	;šD
0x45	0x54d8	;šE
0x46	0x54e5	;šF
0x47	0x54e6	;šG
0x48	0x550f	;šH
0x49	0x5514	;šI
0x4a	0x54fd	;šJ
0x4b	0x54ee	;šK
0x4c	0x54ed	;šL
0x4d	0x54fa	;šM
0x4e	0x54e2	;šN
0x4f	0x5539	;šO
0x50	0x5540	;šP
0x51	0x5563	;šQ
0x52	0x554c	;šR
0x53	0x552e	;šS
0x54	0x555c	;šT
0x55	0x5545	;šU
0x56	0x5556	;šV
0x57	0x5557	;šW
0x58	0x5538	;šX
0x59	0x5533	;šY
0x5a	0x555d	;šZ
0x5b	0x5599	;š[
0x5c	0x5580	;š\
0x5d	0x54af	;š]
0x5e	0x558a	;š^
0x5f	0x559f	;š_
0x60	0x557b	;š`
0x61	0x557e	;ša
0x62	0x5598	;šb
0x63	0x559e	;šc
0x64	0x55ae	;šd
0x65	0x557c	;še
0x66	0x5583	;šf
0x67	0x55a9	;šg
0x68	0x5587	;šh
0x69	0x55a8	;ši
0x6a	0x55da	;šj
0x6b	0x55c5	;šk
0x6c	0x55df	;šl
0x6d	0x55c4	;šm
0x6e	0x55dc	;šn
0x6f	0x55e4	;šo
0x70	0x55d4	;šp
0x71	0x5614	;šq
0x72	0x55f7	;šr
0x73	0x5616	;šs
0x74	0x55fe	;št
0x75	0x55fd	;šu
0x76	0x561b	;šv
0x77	0x55f9	;šw
0x78	0x564e	;šx
0x79	0x5650	;šy
0x7a	0x71df	;šz
0x7b	0x5634	;š{
0x7c	0x5636	;š|
0x7d	0x5632	;š}
0x7e	0x5638	;š~
0x80	0x566b	;š€
0x81	0x5664	;š
0x82	0x562f	;š‚
0x83	0x566c	;šƒ
0x84	0x566a	;š„
0x85	0x5686	;š…
0x86	0x5680	;š†
0x87	0x568a	;š‡
0x88	0x56a0	;šˆ
0x89	0x5694	;š‰
0x8a	0x568f	;šŠ
0x8b	0x56a5	;š‹
0x8c	0x56ae	;šŒ
0x8d	0x56b6	;š
0x8e	0x56b4	;š
0x8f	0x56c2	;š
0x90	0x56bc	;š
0x91	0x56c1	;š‘
0x92	0x56c3	;š’
0x93	0x56c0	;š“
0x94	0x56c8	;š”
0x95	0x56ce	;š•
0x96	0x56d1	;š–
0x97	0x56d3	;š—
0x98	0x56d7	;š˜
0x99	0x56ee	;š™
0x9a	0x56f9	;šš
0x9b	0x5700	;š›
0x9c	0x56ff	;šœ
0x9d	0x5704	;š
0x9e	0x5709	;š
0x9f	0x5708	;šŸ
0xa0	0x570b	;š 
0xa1	0x570d	;š¡
0xa2	0x5713	;š¢
0xa3	0x5718	;š£
0xa4	0x5716	;š¤
0xa5	0x55c7	;š¥
0xa6	0x571c	;š¦
0xa7	0x5726	;š§
0xa8	0x5737	;š¨
0xa9	0x5738	;š©
0xaa	0x574e	;šª
0xab	0x573b	;š«
0xac	0x5740	;š¬
0xad	0x574f	;š­
0xae	0x5769	;š®
0xaf	0x57c0	;š¯
0xb0	0x5788	;š°
0xb1	0x5761	;š±
0xb2	0x577f	;š²
0xb3	0x5789	;š³
0xb4	0x5793	;š´
0xb5	0x57a0	;šµ
0xb6	0x57b3	;š¶
0xb7	0x57a4	;š·
0xb8	0x57aa	;š¸
0xb9	0x57b0	;š¹
0xba	0x57c3	;šº
0xbb	0x57c6	;š»
0xbc	0x57d4	;š¼
0xbd	0x57d2	;š½
0xbe	0x57d3	;š¾
0xbf	0x580a	;š¿
0xc0	0x57d6	;šÀ
0xc1	0x57e3	;šÁ
0xc2	0x580b	;šÂ
0xc3	0x5819	;šÃ
0xc4	0x581d	;šÄ
0xc5	0x5872	;šÅ
0xc6	0x5821	;šÆ
0xc7	0x5862	;šÇ
0xc8	0x584b	;šÈ
0xc9	0x5870	;šÉ
0xca	0x6bc0	;šÊ
0xcb	0x5852	;šË
0xcc	0x583d	;šÌ
0xcd	0x5879	;šÍ
0xce	0x5885	;šÎ
0xcf	0x58b9	;šÏ
0xd0	0x589f	;šĞ
0xd1	0x58ab	;šÑ
0xd2	0x58ba	;šÒ
0xd3	0x58de	;šÓ
0xd4	0x58bb	;šÔ
0xd5	0x58b8	;šÕ
0xd6	0x58ae	;šÖ
0xd7	0x58c5	;š×
0xd8	0x58d3	;šØ
0xd9	0x58d1	;šÙ
0xda	0x58d7	;šÚ
0xdb	0x58d9	;šÛ
0xdc	0x58d8	;šÜ
0xdd	0x58e5	;šİ
0xde	0x58dc	;šŞ
0xdf	0x58e4	;šß
0xe0	0x58df	;šà
0xe1	0x58ef	;šá
0xe2	0x58fa	;šâ
0xe3	0x58f9	;šã
0xe4	0x58fb	;šä
0xe5	0x58fc	;šå
0xe6	0x58fd	;šæ
0xe7	0x5902	;šç
0xe8	0x590a	;šè
0xe9	0x5910	;šé
0xea	0x591b	;šê
0xeb	0x68a6	;šë
0xec	0x5925	;šì
0xed	0x592c	;ší
0xee	0x592d	;šî
0xef	0x5932	;šï
0xf0	0x5938	;šğ
0xf1	0x593e	;šñ
0xf2	0x7ad2	;šò
0xf3	0x5955	;šó
0xf4	0x5950	;šô
0xf5	0x594e	;šõ
0xf6	0x595a	;šö
0xf7	0x5958	;š÷
0xf8	0x5962	;šø
0xf9	0x5960	;šù
0xfa	0x5967	;šú
0xfb	0x596c	;šû
0xfc	0x5969	;šü

DBCSTABLE 188           ;LeadByte = 0x9b

0x40	0x5978	;›@
0x41	0x5981	;›A
0x42	0x599d	;›B
0x43	0x4f5e	;›C
0x44	0x4fab	;›D
0x45	0x59a3	;›E
0x46	0x59b2	;›F
0x47	0x59c6	;›G
0x48	0x59e8	;›H
0x49	0x59dc	;›I
0x4a	0x598d	;›J
0x4b	0x59d9	;›K
0x4c	0x59da	;›L
0x4d	0x5a25	;›M
0x4e	0x5a1f	;›N
0x4f	0x5a11	;›O
0x50	0x5a1c	;›P
0x51	0x5a09	;›Q
0x52	0x5a1a	;›R
0x53	0x5a40	;›S
0x54	0x5a6c	;›T
0x55	0x5a49	;›U
0x56	0x5a35	;›V
0x57	0x5a36	;›W
0x58	0x5a62	;›X
0x59	0x5a6a	;›Y
0x5a	0x5a9a	;›Z
0x5b	0x5abc	;›[
0x5c	0x5abe	;›\
0x5d	0x5acb	;›]
0x5e	0x5ac2	;›^
0x5f	0x5abd	;›_
0x60	0x5ae3	;›`
0x61	0x5ad7	;›a
0x62	0x5ae6	;›b
0x63	0x5ae9	;›c
0x64	0x5ad6	;›d
0x65	0x5afa	;›e
0x66	0x5afb	;›f
0x67	0x5b0c	;›g
0x68	0x5b0b	;›h
0x69	0x5b16	;›i
0x6a	0x5b32	;›j
0x6b	0x5ad0	;›k
0x6c	0x5b2a	;›l
0x6d	0x5b36	;›m
0x6e	0x5b3e	;›n
0x6f	0x5b43	;›o
0x70	0x5b45	;›p
0x71	0x5b40	;›q
0x72	0x5b51	;›r
0x73	0x5b55	;›s
0x74	0x5b5a	;›t
0x75	0x5b5b	;›u
0x76	0x5b65	;›v
0x77	0x5b69	;›w
0x78	0x5b70	;›x
0x79	0x5b73	;›y
0x7a	0x5b75	;›z
0x7b	0x5b78	;›{
0x7c	0x6588	;›|
0x7d	0x5b7a	;›}
0x7e	0x5b80	;›~
0x80	0x5b83	;›€
0x81	0x5ba6	;›
0x82	0x5bb8	;›‚
0x83	0x5bc3	;›ƒ
0x84	0x5bc7	;›„
0x85	0x5bc9	;›…
0x86	0x5bd4	;›†
0x87	0x5bd0	;›‡
0x88	0x5be4	;›ˆ
0x89	0x5be6	;›‰
0x8a	0x5be2	;›Š
0x8b	0x5bde	;›‹
0x8c	0x5be5	;›Œ
0x8d	0x5beb	;›
0x8e	0x5bf0	;›
0x8f	0x5bf6	;›
0x90	0x5bf3	;›
0x91	0x5c05	;›‘
0x92	0x5c07	;›’
0x93	0x5c08	;›“
0x94	0x5c0d	;›”
0x95	0x5c13	;›•
0x96	0x5c20	;›–
0x97	0x5c22	;›—
0x98	0x5c28	;›˜
0x99	0x5c38	;›™
0x9a	0x5c39	;›š
0x9b	0x5c41	;››
0x9c	0x5c46	;›œ
0x9d	0x5c4e	;›
0x9e	0x5c53	;›
0x9f	0x5c50	;›Ÿ
0xa0	0x5c4f	;› 
0xa1	0x5b71	;›¡
0xa2	0x5c6c	;›¢
0xa3	0x5c6e	;›£
0xa4	0x4e62	;›¤
0xa5	0x5c76	;›¥
0xa6	0x5c79	;›¦
0xa7	0x5c8c	;›§
0xa8	0x5c91	;›¨
0xa9	0x5c94	;›©
0xaa	0x599b	;›ª
0xab	0x5cab	;›«
0xac	0x5cbb	;›¬
0xad	0x5cb6	;›­
0xae	0x5cbc	;›®
0xaf	0x5cb7	;›¯
0xb0	0x5cc5	;›°
0xb1	0x5cbe	;›±
0xb2	0x5cc7	;›²
0xb3	0x5cd9	;›³
0xb4	0x5ce9	;›´
0xb5	0x5cfd	;›µ
0xb6	0x5cfa	;›¶
0xb7	0x5ced	;›·
0xb8	0x5d8c	;›¸
0xb9	0x5cea	;›¹
0xba	0x5d0b	;›º
0xbb	0x5d15	;›»
0xbc	0x5d17	;›¼
0xbd	0x5d5c	;›½
0xbe	0x5d1f	;›¾
0xbf	0x5d1b	;›¿
0xc0	0x5d11	;›À
0xc1	0x5d14	;›Á
0xc2	0x5d22	;›Â
0xc3	0x5d1a	;›Ã
0xc4	0x5d19	;›Ä
0xc5	0x5d18	;›Å
0xc6	0x5d4c	;›Æ
0xc7	0x5d52	;›Ç
0xc8	0x5d4e	;›È
0xc9	0x5d4b	;›É
0xca	0x5d6c	;›Ê
0xcb	0x5d73	;›Ë
0xcc	0x5d76	;›Ì
0xcd	0x5d87	;›Í
0xce	0x5d84	;›Î
0xcf	0x5d82	;›Ï
0xd0	0x5da2	;›Ğ
0xd1	0x5d9d	;›Ñ
0xd2	0x5dac	;›Ò
0xd3	0x5dae	;›Ó
0xd4	0x5dbd	;›Ô
0xd5	0x5d90	;›Õ
0xd6	0x5db7	;›Ö
0xd7	0x5dbc	;›×
0xd8	0x5dc9	;›Ø
0xd9	0x5dcd	;›Ù
0xda	0x5dd3	;›Ú
0xdb	0x5dd2	;›Û
0xdc	0x5dd6	;›Ü
0xdd	0x5ddb	;›İ
0xde	0x5deb	;›Ş
0xdf	0x5df2	;›ß
0xe0	0x5df5	;›à
0xe1	0x5e0b	;›á
0xe2	0x5e1a	;›â
0xe3	0x5e19	;›ã
0xe4	0x5e11	;›ä
0xe5	0x5e1b	;›å
0xe6	0x5e36	;›æ
0xe7	0x5e37	;›ç
0xe8	0x5e44	;›è
0xe9	0x5e43	;›é
0xea	0x5e40	;›ê
0xeb	0x5e4e	;›ë
0xec	0x5e57	;›ì
0xed	0x5e54	;›í
0xee	0x5e5f	;›î
0xef	0x5e62	;›ï
0xf0	0x5e64	;›ğ
0xf1	0x5e47	;›ñ
0xf2	0x5e75	;›ò
0xf3	0x5e76	;›ó
0xf4	0x5e7a	;›ô
0xf5	0x9ebc	;›õ
0xf6	0x5e7f	;›ö
0xf7	0x5ea0	;›÷
0xf8	0x5ec1	;›ø
0xf9	0x5ec2	;›ù
0xfa	0x5ec8	;›ú
0xfb	0x5ed0	;›û
0xfc	0x5ecf	;›ü

DBCSTABLE 188           ;LeadByte = 0x9c

0x40	0x5ed6	;œ@
0x41	0x5ee3	;œA
0x42	0x5edd	;œB
0x43	0x5eda	;œC
0x44	0x5edb	;œD
0x45	0x5ee2	;œE
0x46	0x5ee1	;œF
0x47	0x5ee8	;œG
0x48	0x5ee9	;œH
0x49	0x5eec	;œI
0x4a	0x5ef1	;œJ
0x4b	0x5ef3	;œK
0x4c	0x5ef0	;œL
0x4d	0x5ef4	;œM
0x4e	0x5ef8	;œN
0x4f	0x5efe	;œO
0x50	0x5f03	;œP
0x51	0x5f09	;œQ
0x52	0x5f5d	;œR
0x53	0x5f5c	;œS
0x54	0x5f0b	;œT
0x55	0x5f11	;œU
