CODEPAGE 1361           ;Korean - Johab

CPINFO 2 0x3f 0x003f    ;DBCS CP;Default Char = Question Mark

MBTABLE	143

0x00	0x0000	;Null
0x89	0xac24	;àâ Hangul Kiyeok-Ae-Rieul
0x8a	0xac25	;àä Hangul Kiyeok-Ae-RieulKiyeok
0x8b	0xac26	;àã Hangul Kiyeok-Ae-RieulMieum
0x8c	0xac27	;àå Hangul Kiyeok-Ae-RieulPieup
0x8d	0xac28	;àç Hangul Kiyeok-Ae-RieulSios
0x8e	0xac29	;àé Hangul Kiyeok-Ae-RieulThieuth
0x8f	0xac2a	;àè Hangul Kiyeok-Ae-RieulPhieuph
0x90	0xac2b	;àê Hangul Kiyeok-Ae-RieulHieuh
0x91	0xac2c	;àë Hangul Kiyeok-Ae-Mieum
0x93	0xac2d	;àì Hangul Kiyeok-Ae-Pieup
0x94	0xac2e	;àî Hangul Kiyeok-Ae-PieupSios
0x95	0xac2f	;àï Hangul Kiyeok-Ae-Sios
0x96	0xac30	;àñ Hangul Kiyeok-Ae-Ssangsios
0x97	0xac31	;àó Hangul Kiyeok-Ae-Ieung
0x98	0xac32	;àò Hangul Kiyeok-Ae-Cieuc
0x99	0xac33	;àô Hangul Kiyeok-Ae-Chieuch
0x9a	0xac34	;àö Hangul Kiyeok-Ae-Khieukh
0x9b	0xac35	;àõ Hangul Kiyeok-Ae-Thieuth
0x9c	0xac36	;àú Hangul Kiyeok-Ae-Phieuph
0x9d	0xac37	;àù Hangul Kiyeok-Ae-Hieuh
0xa1	0xac38	;à° Hangul Kiyeok-Ya
0xa2	0xac39	;à¢ Hangul Kiyeok-Ya-Kiyeok
0xa3	0xac3a	;à£ Hangul Kiyeok-Ya-SsangKiyeok
0xa4	0xac3b	;à§ Hangul Kiyeok-Ya-KiyeokSios
0xa5	0xac3c	;à• Hangul Kiyeok-Ya-Nieun
0xa6	0xac3d	;à¶ Hangul Kiyeok-Ya-NieunCieuc
0xa7	0xac3e	;àß Hangul Kiyeok-Ya-NieunHieuh
0xa8	0xac3f	;à® Hangul Kiyeok-Ya-Tikeut
0xa9	0xac40	;à© Hangul Kiyeok-Ya-Rieul
0xaa	0xac41	;à™ Hangul Kiyeok-Ya-RieulKiyeok
0xab	0xac42	;à´ Hangul Kiyeok-Ya-RieulMieum
0xac	0xac43	;à¨ Hangul Kiyeok-Ya-RieulPieup
0xad	0xac44	;à≠ Hangul Kiyeok-Ya-RieulSios
0xae	0xac45	;àÆ Hangul Kiyeok-Ya-RieulThieuth
0xaf	0xac46	;àØ Hangul Kiyeok-Ya-RieulPhieuph
0xb0	0xac47	;à∞ Hangul Kiyeok-Ya-RieulHieuh
0xb1	0xac48	;à± Hangul Kiyeok-Ya-Mieum
0xb3	0xac49	;à≥ Hangul Kiyeok-Ya-Pieup
0xb4	0xac4a	;à¥ Hangul Kiyeok-Ya-PieupSios
0xb5	0xac4b	;àµ Hangul Kiyeok-Ya-Sios
0xb6	0xac4c	;à∂ Hangul Kiyeok-Ya-Ssangsios
0xb7	0xac4d	;à∑ Hangul Kiyeok-Ya-Ieung
0xb8	0xac4e	;à∏ Hangul Kiyeok-Ya-Cieuc
0xb9	0xac4f	;àπ Hangul Kiyeok-Ya-Chieuch
0xba	0xac50	;à∫ Hangul Kiyeok-Ya-Khieukh
0xbb	0xac51	;àª Hangul Kiyeok-Ya-Thieuth
0xbc	0xac52	;àº Hangul Kiyeok-Ya-Phieuph
0xbd	0xac53	;àΩ Hangul Kiyeok-Ya-Hieuh
0xc1	0xac54	;à¡ Hangul Kiyeok-Yae
0xc2	0xac55	;à¬ Hangul Kiyeok-Yae-Kiyeok
0xc3	0xac56	;à√ Hangul Kiyeok-Yae-SsangKiyeok
0xc4	0xac57	;àƒ Hangul Kiyeok-Yae-KiyeokSios
0xc5	0xac58	;à≈ Hangul Kiyeok-Yae-Nieun
0xc6	0xac59	;à∆ Hangul Kiyeok-Yae-NieunCieuc
0xc7	0xac5a	;à« Hangul Kiyeok-Yae-NieunHieuh
0xc8	0xac5b	;à» Hangul Kiyeok-Yae-Tikeut
0xc9	0xac5c	;à… Hangul Kiyeok-Yae-Rieul
0xca	0xac5d	;à  Hangul Kiyeok-Yae-RieulKiyeok
0xcb	0xac5e	;àÀ Hangul Kiyeok-Yae-RieulMieum
0xcc	0xac5f	;àÃ Hangul Kiyeok-Yae-RieulPieup
0xcd	0xac60	;àÕ Hangul Kiyeok-Yae-RieulSios
0xce	0xac61	;àŒ Hangul Kiyeok-Yae-RieulThieuth
0xcf	0xac62	;àœ Hangul Kiyeok-Yae-RieulPhieuph
0xd0	0xac63	;à– Hangul Kiyeok-Yae-RieulHieuh
0xd1	0xac64	;à— Hangul Kiyeok-Yae-Mieum
0xd3	0xac65	;à” Hangul Kiyeok-Yae-Pieup
0xd4	0xac66	;à‘ Hangul Kiyeok-Yae-PieupSios
0xd5	0xac67	;à’ Hangul Kiyeok-Yae-Sios
0xd6	0xac68	;à÷ Hangul Kiyeok-Yae-Ssangsios
0xd7	0xac69	;à◊ Hangul Kiyeok-Yae-Ieung
0xd8	0xac6a	;àÿ Hangul Kiyeok-Yae-Cieuc
0xd9	0xac6b	;àŸ Hangul Kiyeok-Yae-Chieuch
0xda	0xac6c	;à⁄ Hangul Kiyeok-Yae-Khieukh
0xdb	0xac6d	;à€ Hangul Kiyeok-Yae-Thieuth
0xdc	0xac6e	;à‹ Hangul Kiyeok-Yae-Phieuph
0xdd	0xac6f	;à› Hangul Kiyeok-Yae-Hieuh
0xe1	0xac70	;à· Hangul Kiyeok-Eo
0xe2	0xac71	;à‚ Hangul Kiyeok-Eo-Kiyeok
0xe3	0xac72	;à„ Hangul Kiyeok-Eo-SsangKiyeok
0xe4	0xac73	;à‰ Hangul Kiyeok-Eo-KiyeokSios
0xe5	0xac74	;àÂ Hangul Kiyeok-Eo-Nieun
0xe6	0xac75	;àÊ Hangul Kiyeok-Eo-NieunCieuc
0xe7	0xac76	;àÁ Hangul Kiyeok-Eo-NieunHieuh
0xe8	0xac77	;àË Hangul Kiyeok-Eo-Tikeut
0xe9	0xac78	;àÈ Hangul Kiyeok-Eo-Rieul
0xea	0xac79	;àÍ Hangul Kiyeok-Eo-RieulKiyeok
0xeb	0xac7a	;àÎ Hangul Kiyeok-Eo-RieulMieum
0xec	0xac7b	;àÏ Hangul Kiyeok-Eo-RieulPieup
0xed	0xac7c	;àÌ Hangul Kiyeok-Eo-RieulSios
0xee	0xac7d	;àÓ Hangul Kiyeok-Eo-RieulThieuth
0xef	0xac7e	;àÔ Hangul Kiyeok-Eo-RieulPhieuph
0xf0	0xac7f	;à Hangul Kiyeok-Eo-RieulHieuh
0xf1	0xac80	;àÒ Hangul Kiyeok-Eo-Mieum
0xf3	0xac81	;àÛ Hangul Kiyeok-Eo-Pieup
0xf4	0xac82	;àÙ Hangul Kiyeok-Eo-PieupSios
0xf5	0xac83	;àı Hangul Kiyeok-Eo-Sios
0xf6	0xac84	;àˆ Hangul Kiyeok-Eo-Ssangsios
0xf7	0xac85	;à˜ Hangul Kiyeok-Eo-Ieung
0xf8	0xac86	;à¯ Hangul Kiyeok-Eo-Cieuc
0xf9	0xac87	;à˘ Hangul Kiyeok-Eo-Chieuch
0xfa	0xac88	;à˙ Hangul Kiyeok-Eo-Khieukh
0xfb	0xac89	;à˚ Hangul Kiyeok-Eo-Thieuth
0xfc	0xac8a	;à¸ Hangul Kiyeok-Eo-Phieuph
0xfd	0xac8b	;à˝ Hangul Kiyeok-Eo-Hieuh

DBCSTABLE 168           ;LeadByte = 0x89

0x41	0xac8c	;âA Hangul Kiyeok-E
0x42	0xac8d	;âB Hangul Kiyeok-E-Kiyeok
0x43	0xac8e	;âC Hangul Kiyeok-E-SsangKiyeok
0x44	0xac8f	;âD Hangul Kiyeok-E-KiyeokSios
0x45	0xac90	;âE Hangul Kiyeok-E-Nieun
0x46	0xac91	;âF Hangul Kiyeok-E-NieunCieuc
0x47	0xac92	;âG Hangul Kiyeok-E-NieunHieuh
0x48	0xac93	;âH Hangul Kiyeok-E-Tikeut
0x49	0xac94	;âI Hangul Kiyeok-E-Rieul
0x4a	0xac95	;âJ Hangul Kiyeok-E-RieulKiyeok
0x4b	0xac96	;âK Hangul Kiyeok-E-RieulMieum
0x4c	0xac97	;âL Hangul Kiyeok-E-RieulPieup
0x4d	0xac98	;âM Hangul Kiyeok-E-RieulSios
0x4e	0xac99	;âN Hangul Kiyeok-E-RieulThieuth
0x4f	0xac9a	;âO Hangul Kiyeok-E-RieulPhieuph
0x50	0xac9b	;âP Hangul Kiyeok-E-RieulHieuh
0x51	0xac9c	;âQ Hangul Kiyeok-E-Mieum
0x53	0xac9d	;âS Hangul Kiyeok-E-Pieup
0x54	0xac9e	;âT Hangul Kiyeok-E-PieupSios
0x55	0xac9f	;âU Hangul Kiyeok-E-Sios
0x56	0xaca0	;âV Hangul Kiyeok-E-Ssangsios
0x57	0xaca1	;âW Hangul Kiyeok-E-Ieung
0x58	0xaca2	;âX Hangul Kiyeok-E-Cieuc
0x59	0xaca3	;âY Hangul Kiyeok-E-Chieuch
0x5a	0xaca4	;âZ Hangul Kiyeok-E-Khieukh
0x5b	0xaca5	;â[ Hangul Kiyeok-E-Thieuth
0x5c	0xaca6	;â\ Hangul Kiyeok-E-Phieuph
0x5d	0xaca7	;â] Hangul Kiyeok-E-Hieuh
0x61	0xaca8	;âa Hangul Kiyeok-Yeo
0x62	0xaca9	;âb Hangul Kiyeok-Yeo-Kiyeok
0x63	0xacaa	;âc Hangul Kiyeok-Yeo-SsangKiyeok
0x64	0xacab	;âd Hangul Kiyeok-Yeo-KiyeokSios
0x65	0xacac	;âe Hangul Kiyeok-Yeo-Nieun
0x66	0xacad	;âf Hangul Kiyeok-Yeo-NieunCieuc
0x67	0xacae	;âg Hangul Kiyeok-Yeo-NieunHieuh
0x68	0xacaf	;âh Hangul Kiyeok-Yeo-Tikeut
0x69	0xacb0	;âi Hangul Kiyeok-Yeo-Rieul
0x6a	0xacb1	;âj Hangul Kiyeok-Yeo-RieulKiyeok
0x6b	0xacb2	;âk Hangul Kiyeok-Yeo-RieulMieum
0x6c	0xacb3	;âl Hangul Kiyeok-Yeo-RieulPieup
0x6d	0xacb4	;âm Hangul Kiyeok-Yeo-RieulSios
0x6e	0xacb5	;ân Hangul Kiyeok-Yeo-RieulThieuth
0x6f	0xacb6	;âo Hangul Kiyeok-Yeo-RieulPhieuph
0x70	0xacb7	;âp Hangul Kiyeok-Yeo-RieulHieuh
0x71	0xacb8	;âq Hangul Kiyeok-Yeo-Mieum
0x73	0xacb9	;âs Hangul Kiyeok-Yeo-Pieup
0x74	0xacba	;ât Hangul Kiyeok-Yeo-PieupSios
0x75	0xacbb	;âu Hangul Kiyeok-Yeo-Sios
0x76	0xacbc	;âv Hangul Kiyeok-Yeo-Ssangsios
0x77	0xacbd	;âw Hangul Kiyeok-Yeo-Ieung
0x78	0xacbe	;âx Hangul Kiyeok-Yeo-Cieuc
0x79	0xacbf	;ây Hangul Kiyeok-Yeo-Chieuch
0x7a	0xacc0	;âz Hangul Kiyeok-Yeo-Khieukh
0x7b	0xacc1	;â{ Hangul Kiyeok-Yeo-Thieuth
0x7c	0xacc2	;â| Hangul Kiyeok-Yeo-Phieuph
0x7d	0xacc3	;â} Hangul Kiyeok-Yeo-Hieuh
0x81	0xacc4	;âÅ Hangul Kiyeok-Ye
0x82	0xacc5	;âÇ Hangul Kiyeok-Ye-Kiyeok
0x83	0xacc6	;âÉ Hangul Kiyeok-Ye-SsangKiyeok
0x84	0xacc7	;âÑ Hangul Kiyeok-Ye-KiyeokSios
0x85	0xacc8	;âÖ Hangul Kiyeok-Ye-Nieun
0x86	0xacc9	;âÜ Hangul Kiyeok-Ye-NieunCieuc
0x87	0xacca	;âá Hangul Kiyeok-Ye-NieunHieuh
0x88	0xaccb	;âà Hangul Kiyeok-Ye-Tikeut
0x89	0xaccc	;ââ Hangul Kiyeok-Ye-Rieul
0x8a	0xaccd	;âä Hangul Kiyeok-Ye-RieulKiyeok
0x8b	0xacce	;âã Hangul Kiyeok-Ye-RieulMieum
0x8c	0xaccf	;âå Hangul Kiyeok-Ye-RieulPieup
0x8d	0xacd0	;âç Hangul Kiyeok-Ye-RieulSios
0x8e	0xacd1	;âé Hangul Kiyeok-Ye-RieulThieuth
0x8f	0xacd2	;âè Hangul Kiyeok-Ye-RieulPhieuph
0x90	0xacd3	;âê Hangul Kiyeok-Ye-RieulHieuh
0x91	0xacd4	;âë Hangul Kiyeok-Ye-Mieum
0x93	0xacd5	;âì Hangul Kiyeok-Ye-Pieup
0x94	0xacd6	;âî Hangul Kiyeok-Ye-PieupSios
0x95	0xacd7	;âï Hangul Kiyeok-Ye-Sios
0x96	0xacd8	;âñ Hangul Kiyeok-Ye-Ssangsios
0x97	0xacd9	;âó Hangul Kiyeok-Ye-Ieung
0x98	0xacda	;âò Hangul Kiyeok-Ye-Cieuc
0x99	0xacdb	;âô Hangul Kiyeok-Ye-Chieuch
0x9a	0xacdc	;âö Hangul Kiyeok-Ye-Khieukh
0x9b	0xacdd	;âõ Hangul Kiyeok-Ye-Thieuth
0x9c	0xacde	;âú Hangul Kiyeok-Ye-Phieuph
0x9d	0xacdf	;âù Hangul Kiyeok-Ye-Hieuh
0xa1	0xace0	;â° Hangul Kiyeok-O
0xa2	0xace1	;â¢ Hangul Kiyeok-O-Kiyeok
0xa3	0xace2	;â£ Hangul Kiyeok-O-SsangKiyeok
0xa4	0xace3	;â§ Hangul Kiyeok-O-KiyeokSios
0xa5	0xace4	;â• Hangul Kiyeok-O-Nieun
0xa6	0xace5	;â¶ Hangul Kiyeok-O-NieunCieuc
0xa7	0xace6	;âß Hangul Kiyeok-O-NieunHieuh
0xa8	0xace7	;â® Hangul Kiyeok-O-Tikeut
0xa9	0xace8	;â© Hangul Kiyeok-O-Rieul
0xaa	0xace9	;â™ Hangul Kiyeok-O-RieulKiyeok
0xab	0xacea	;â´ Hangul Kiyeok-O-RieulMieum
0xac	0xaceb	;â¨ Hangul Kiyeok-O-RieulPieup
0xad	0xacec	;â≠ Hangul Kiyeok-O-RieulSios
0xae	0xaced	;âÆ Hangul Kiyeok-O-RieulThieuth
0xaf	0xacee	;âØ Hangul Kiyeok-O-RieulPhieuph
0xb0	0xacef	;â∞ Hangul Kiyeok-O-RieulHieuh
0xb1	0xacf0	;â± Hangul Kiyeok-O-Mieum
0xb3	0xacf1	;â≥ Hangul Kiyeok-O-Pieup
0xb4	0xacf2	;â¥ Hangul Kiyeok-O-PieupSios
0xb5	0xacf3	;âµ Hangul Kiyeok-O-Sios
0xb6	0xacf4	;â∂ Hangul Kiyeok-O-Ssangsios
0xb7	0xacf5	;â∑ Hangul Kiyeok-O-Ieung
0xb8	0xacf6	;â∏ Hangul Kiyeok-O-Cieuc
0xb9	0xacf7	;âπ Hangul Kiyeok-O-Chieuch
0xba	0xacf8	;â∫ Hangul Kiyeok-O-Khieukh
0xbb	0xacf9	;âª Hangul Kiyeok-O-Thieuth
0xbc	0xacfa	;âº Hangul Kiyeok-O-Phieuph
0xbd	0xacfb	;âΩ Hangul Kiyeok-O-Hieuh
0xc1	0xacfc	;â¡ Hangul Kiyeok-Wa
0xc2	0xacfd	;â¬ Hangul Kiyeok-Wa-Kiyeok
0xc3	0xacfe	;â√ Hangul Kiyeok-Wa-SsangKiyeok
0xc4	0xacff	;âƒ Hangul Kiyeok-Wa-KiyeokSios
0xc5	0xad00	;â≈ Hangul Kiyeok-Wa-Nieun
0xc6	0xad01	;â∆ Hangul Kiyeok-Wa-NieunCieuc
0xc7	0xad02	;â« Hangul Kiyeok-Wa-NieunHieuh
0xc8	0xad03	;â» Hangul Kiyeok-Wa-Tikeut
0xc9	0xad04	;â… Hangul Kiyeok-Wa-Rieul
0xca	0xad05	;â  Hangul Kiyeok-Wa-RieulKiyeok
0xcb	0xad06	;âÀ Hangul Kiyeok-Wa-RieulMieum
0xcc	0xad07	;âÃ Hangul Kiyeok-Wa-RieulPieup
0xcd	0xad08	;âÕ Hangul Kiyeok-Wa-RieulSios
0xce	0xad09	;âŒ Hangul Kiyeok-Wa-RieulThieuth
0xcf	0xad0a	;âœ Hangul Kiyeok-Wa-RieulPhieuph
0xd0	0xad0b	;â– Hangul Kiyeok-Wa-RieulHieuh
0xd1	0xad0c	;â— Hangul Kiyeok-Wa-Mieum
0xd3	0xad0d	;â” Hangul Kiyeok-Wa-Pieup
0xd4	0xad0e	;â‘ Hangul Kiyeok-Wa-PieupSios
0xd5	0xad0f	;â’ Hangul Kiyeok-Wa-Sios
0xd6	0xad10	;â÷ Hangul Kiyeok-Wa-Ssangsios
0xd7	0xad11	;â◊ Hangul Kiyeok-Wa-Ieung
0xd8	0xad12	;âÿ Hangul Kiyeok-Wa-Cieuc
0xd9	0xad13	;âŸ Hangul Kiyeok-Wa-Chieuch
0xda	0xad14	;â⁄ Hangul Kiyeok-Wa-Khieukh
0xdb	0xad15	;â€ Hangul Kiyeok-Wa-Thieuth
0xdc	0xad16	;â‹ Hangul Kiyeok-Wa-Phieuph
0xdd	0xad17	;â› Hangul Kiyeok-Wa-Hieuh
0xe1	0xad18	;â· Hangul Kiyeok-Wae
0xe2	0xad19	;â‚ Hangul Kiyeok-Wae-Kiyeok
0xe3	0xad1a	;â„ Hangul Kiyeok-Wae-SsangKiyeok
0xe4	0xad1b	;â‰ Hangul Kiyeok-Wae-KiyeokSios
0xe5	0xad1c	;âÂ Hangul Kiyeok-Wae-Nieun
0xe6	0xad1d	;âÊ Hangul Kiyeok-Wae-NieunCieuc
0xe7	0xad1e	;âÁ Hangul Kiyeok-Wae-NieunHieuh
0xe8	0xad1f	;âË Hangul Kiyeok-Wae-Tikeut
0xe9	0xad20	;âÈ Hangul Kiyeok-Wae-Rieul
0xea	0xad21	;âÍ Hangul Kiyeok-Wae-RieulKiyeok
0xeb	0xad22	;âÎ Hangul Kiyeok-Wae-RieulMieum
0xec	0xad23	;âÏ Hangul Kiyeok-Wae-RieulPieup
0xed	0xad24	;âÌ Hangul Kiyeok-Wae-RieulSios
0xee	0xad25	;âÓ Hangul Kiyeok-Wae-RieulThieuth
0xef	0xad26	;âÔ Hangul Kiyeok-Wae-RieulPhieuph
0xf0	0xad27	;â Hangul Kiyeok-Wae-RieulHieuh
0xf1	0xad28	;âÒ Hangul Kiyeok-Wae-Mieum
0xf3	0xad29	;âÛ Hangul Kiyeok-Wae-Pieup
0xf4	0xad2a	;âÙ Hangul Kiyeok-Wae-PieupSios
0xf5	0xad2b	;âı Hangul Kiyeok-Wae-Sios
0xf6	0xad2c	;âˆ Hangul Kiyeok-Wae-Ssangsios
0xf7	0xad2d	;â˜ Hangul Kiyeok-Wae-Ieung
0xf8	0xad2e	;â¯ Hangul Kiyeok-Wae-Cieuc
0xf9	0xad2f	;â˘ Hangul Kiyeok-Wae-Chieuch
0xfa	0xad30	;â˙ Hangul Kiyeok-Wae-Khieukh
0xfb	0xad31	;â˚ Hangul Kiyeok-Wae-Thieuth
0xfc	0xad32	;â¸ Hangul Kiyeok-Wae-Phieuph
