AcceptConnectPort,6
AccessCheck,8
AccessCheckAndAuditAlarm,11
AccessCheckByType,11
AccessCheckByTypeAndAuditAlarm,16
AccessCheckByTypeResultList,11
AccessCheckByTypeResultListAndAuditAlarm,16
AccessCheckByTypeResultListAndAuditAlarmByHandle,17
AddAtom,3
AdjustGroupsToken,6
AdjustPrivilegesToken,6
AlertResumeThread,2
AlertThread,1
AllocateLocallyUniqueId,1
AllocateUserPhysicalPages,3
AllocateUuids,4
AllocateVirtualMemory,6
AreMappedFilesTheSame,2
AssignProcessToJobObject,2
CallbackReturn,3
CancelIoFile,2
CancelTimer,2
CancelDeviceWakeupRequest,1
ClearEvent,1
Close,1
CloseObjectAuditAlarm,3
CompleteConnectPort,1
ConnectPort,8
Continue,2
CreateDirectoryObject,3
CreateEvent,5
CreateEventPair,3
CreateFile,11
CreateIoCompletion,4
CreateJobObject,3
CreateKey,7
CreateMailslotFile,8
CreateMutant,4
CreateNamedPipeFile,14
CreatePagingFile,4
CreatePort,5
CreateProcess,8
CreateProfile,9
CreateSection,7
CreateSemaphore,5
CreateSymbolicLinkObject,4
CreateThread,8
CreateTimer,4
CreateToken,13
CreateWaitablePort,5
DelayExecution,2
DeleteAtom,1
DeleteFile,1
DeleteKey,1
DeleteObjectAuditAlarm,3
DeleteValueKey,2
DeviceIoControlFile,10
DisplayString,1
DuplicateObject,7
DuplicateToken,6
EnumerateKey,6
EnumerateValueKey,6
ExtendSection,2
FilterToken,6
FindAtom,3
FlushBuffersFile,2
FlushInstructionCache,3
FlushKey,1
FlushVirtualMemory,4
FlushWriteBuffer,0
FreeUserPhysicalPages,3
FreeVirtualMemory,4
FsControlFile,10
GetContextThread,2
GetDevicePowerState,2
GetPlugPlayEvent,4
GetTickCount,0
GetWriteWatch,7
ImpersonateAnonymousToken,1
ImpersonateClientOfPort,2
ImpersonateThread,3
InitializeRegistry,1
InitiatePowerAction,4
IsSystemResumeAutomatic,0
ListenPort,2
LoadDriver,1
LoadKey,2
LoadKey2,3
LockFile,10
LockVirtualMemory,4
MakeTemporaryObject,1
MapUserPhysicalPages,3
MapUserPhysicalPagesScatter,3
MapViewOfSection,10
NotifyChangeDirectoryFile,9
NotifyChangeKey,10
NotifyChangeMultipleKeys,12
OpenDirectoryObject,3
OpenEvent,3
OpenEventPair,3
OpenFile,6
OpenIoCompletion,3
OpenJobObject,3
OpenKey,3
OpenMutant,3
OpenObjectAuditAlarm,12
OpenProcess,4
OpenProcessToken,3
OpenSection,3
OpenSemaphore,3
OpenSymbolicLinkObject,3
OpenThread,4
OpenThreadToken,4
OpenTimer,3
PlugPlayControl,3
PowerInformation,5
PrivilegeCheck,3
PrivilegedServiceAuditAlarm,5
PrivilegeObjectAuditAlarm,6
ProtectVirtualMemory,5
PulseEvent,2
QueryInformationAtom,5
QueryAttributesFile,2
QueryDefaultLocale,2
QueryDefaultUILanguage,1
QueryDirectoryFile,11
QueryDirectoryObject,7
